anio,trimestre,indicador,regimen,valor,ee,n_obs
2010,4,TPEA,tradicional,58.96,0.152,285976
2011,1,TPEA,tradicional,58.7,0.162,287061
2011,2,TPEA,tradicional,59.62,0.156,286517
2011,3,TPEA,tradicional,60.11,0.156,286118
2011,4,TPEA,tradicional,60.63,0.156,286174
2012,1,TPEA,tradicional,59.63,0.157,288258
2012,2,TPEA,tradicional,60.87,0.158,287850
2012,3,TPEA,tradicional,61.09,0.162,286025
2012,4,TPEA,tradicional,60.13,0.16,282802
2013,1,TPEA,tradicional,59.35,0.161,283177
2013,2,TPEA,tradicional,60.51,0.157,282771
2013,3,TPEA,tradicional,60.51,0.155,283008
2013,4,TPEA,tradicional,60.81,0.151,287027
2014,1,TPEA,tradicional,59.76,0.154,288634
2014,2,TPEA,tradicional,59.87,0.149,290687
2014,3,TPEA,tradicional,59.94,0.15,290712
2014,4,TPEA,tradicional,59.54,0.155,291090
2015,1,TPEA,tradicional,59.18,0.151,291160
2015,2,TPEA,tradicional,59.67,0.15,291231
2015,3,TPEA,tradicional,59.96,0.153,289935
2015,4,TPEA,tradicional,60.42,0.153,288477
2016,1,TPEA,tradicional,59.21,0.152,287851
2016,2,TPEA,tradicional,59.64,0.149,288147
2016,3,TPEA,tradicional,60.19,0.152,284017
2016,4,TPEA,tradicional,59.72,0.149,285180
2017,1,TPEA,tradicional,59.22,0.152,285447
2017,2,TPEA,tradicional,59.34,0.147,290864
2017,3,TPEA,tradicional,59.41,0.15,286294
2017,4,TPEA,tradicional,59.42,0.151,287120
2018,1,TPEA,tradicional,58.95,0.152,287004
2018,2,TPEA,tradicional,59.79,0.157,289219
2018,3,TPEA,tradicional,59.82,0.156,288451
2018,4,TPEA,tradicional,59.7,0.159,288860
2019,1,TPEA,tradicional,59.53,0.15,300514
2019,2,TPEA,tradicional,60.27,0.153,302509
2019,3,TPEA,tradicional,60.48,0.155,301344
2019,4,TPEA,tradicional,60.46,0.148,300418
2020,1,TPEA,tradicional,59.92,0.157,311756
2020,3,TPEA,enoen,55.61,0.249,224153
2020,4,TPEA,enoen,57.49,0.204,269715
2021,1,TPEA,enoen,57.13,0.199,264449
2021,2,TPEA,enoen,59.05,0.186,288243
2021,3,TPEA,enoen,59.43,0.161,323604
2021,4,TPEA,enoen,59.67,0.157,329091
2022,1,TPEA,enoen,58.74,0.165,306126
2022,2,TPEA,enoen,59.9,0.159,308836
2022,3,TPEA,enoen,59.94,0.154,303937
2022,4,TPEA,enoen,60.44,0.153,303186
2023,1,TPEA,enoe_2023,60.24,0.144,344205
2023,2,TPEA,enoe_2023,60.19,0.151,329632
2023,3,TPEA,enoe_2023,60.63,0.151,329397
2023,4,TPEA,enoe_2023,60.53,0.156,323118
2024,1,TPEA,enoe_2023,59.98,0.161,326632
2024,2,TPEA,enoe_2023,60.25,0.161,329213
2024,3,TPEA,enoe_2023,60.39,0.157,326168
2024,4,TPEA,enoe_2023,59.9,0.157,324241
2025,1,TPEA,enoe_2023,59.15,0.168,323978
2025,2,TPEA,enoe_2023,59.51,0.159,324613
2025,3,TPEA,enoe_2023,59.48,0.165,325108
2025,4,TPEA,enoe_2023,59.28,0.166,323367
2026,1,TPEA,enoe_2023,58.72,0.164,323299
2026,2,TPEA,enoe_2023,59.13,0.164,324265
2005,1,TSUB,tradicional,8.88,0.16,162499
2005,2,TSUB,tradicional,7.51,0.133,164852
2005,3,TSUB,tradicional,7.28,0.143,166954
2005,4,TSUB,tradicional,6.36,0.124,170012
2006,1,TSUB,tradicional,6.2,0.125,169766
2006,2,TSUB,tradicional,6.03,0.117,170456
2006,3,TSUB,tradicional,8.24,0.145,170635
2006,4,TSUB,tradicional,7.06,0.132,171164
2007,1,TSUB,tradicional,7.78,0.153,170778
2007,2,TSUB,tradicional,6.97,0.131,171553
2007,3,TSUB,tradicional,6.95,0.141,169770
2007,4,TSUB,tradicional,7.17,0.143,170666
2008,1,TSUB,tradicional,6.67,0.135,170640
2008,2,TSUB,tradicional,6.92,0.126,172087
2008,3,TSUB,tradicional,6.82,0.13,168429
2008,4,TSUB,tradicional,7.19,0.141,166075
2009,1,TSUB,tradicional,8.01,0.137,163870
2009,2,TSUB,tradicional,11.15,0.186,163618
2009,3,TSUB,tradicional,8.77,0.167,163375
2009,4,TSUB,tradicional,8.84,0.153,166013
2010,1,TSUB,tradicional,9.39,0.168,164447
2010,2,TSUB,tradicional,8.96,0.155,167900
2010,3,TSUB,tradicional,8.59,0.165,165883
2010,4,TSUB,tradicional,7.59,0.138,162020
2011,1,TSUB,tradicional,8.16,0.152,162184
2011,2,TSUB,tradicional,8.32,0.154,163948
2011,3,TSUB,tradicional,8.92,0.153,163965
2011,4,TSUB,tradicional,8.94,0.167,167141
2012,1,TSUB,tradicional,8.57,0.155,165535
2012,2,TSUB,tradicional,8.88,0.154,168445
2012,3,TSUB,tradicional,8.7,0.161,167371
2012,4,TSUB,tradicional,8.01,0.156,163221
2013,1,TSUB,tradicional,8.2,0.151,161887
2013,2,TSUB,tradicional,8.55,0.145,164543
2013,3,TSUB,tradicional,8.5,0.152,164005
2013,4,TSUB,tradicional,8.2,0.142,168486
2014,1,TSUB,tradicional,8.34,0.148,166166
2014,2,TSUB,tradicional,8.17,0.146,167875
2014,3,TSUB,tradicional,8.11,0.137,167705
2014,4,TSUB,tradicional,7.98,0.145,168790
2015,1,TSUB,tradicional,8.06,0.149,168042
2015,2,TSUB,tradicional,8.3,0.148,169457
2015,3,TSUB,tradicional,8.55,0.151,168161
2015,4,TSUB,tradicional,8.57,0.157,169392
2016,1,TSUB,tradicional,7.95,0.139,166740
2016,2,TSUB,tradicional,7.91,0.146,168615
2016,3,TSUB,tradicional,7.75,0.143,166920
2016,4,TSUB,tradicional,7.06,0.143,167112
2017,1,TSUB,tradicional,7.14,0.146,165959
2017,2,TSUB,tradicional,7.23,0.14,169722
2017,3,TSUB,tradicional,7.03,0.143,166630
2017,4,TSUB,tradicional,6.83,0.13,167947
2018,1,TSUB,tradicional,6.76,0.138,167104
2018,2,TSUB,tradicional,7.12,0.142,170060
2018,3,TSUB,tradicional,7.09,0.144,169141
2018,4,TSUB,tradicional,6.79,0.133,169782
2019,1,TSUB,tradicional,6.72,0.131,175901
2019,2,TSUB,tradicional,7.64,0.141,178329
2019,3,TSUB,tradicional,7.77,0.145,177816
2019,4,TSUB,tradicional,7.62,0.144,177877
2020,1,TSUB,tradicional,8.4,0.15,182969
2020,3,TSUB,enoen,16.94,0.313,119456
2020,4,TSUB,enoen,15.26,0.254,150956
2021,1,TSUB,enoen,13.82,0.234,147949
2021,2,TSUB,enoen,13.27,0.221,166309
2021,3,TSUB,enoen,12.92,0.189,186663
2021,4,TSUB,enoen,10.61,0.166,191760
2022,1,TSUB,enoen,8.95,0.163,176192
2022,2,TSUB,enoen,8.86,0.155,180969
2022,3,TSUB,enoen,8.05,0.15,178090
2022,4,TSUB,enoen,7.46,0.142,179580
2023,1,TSUB,enoe_2023,7.27,0.129,203575
2023,2,TSUB,enoe_2023,8.03,0.149,195374
2023,3,TSUB,enoe_2023,7.97,0.144,195781
2023,4,TSUB,enoe_2023,7.82,0.146,192399
2024,1,TSUB,enoe_2023,6.76,0.132,193108
2024,2,TSUB,enoe_2023,7.38,0.151,195278
2024,3,TSUB,enoe_2023,8.04,0.145,193623
2024,4,TSUB,enoe_2023,8.22,0.148,191738
2025,1,TSUB,enoe_2023,6.61,0.123,189481
2025,2,TSUB,enoe_2023,7.22,0.133,190687
2025,3,TSUB,enoe_2023,7.24,0.129,190938
2025,4,TSUB,enoe_2023,6.93,0.122,190187
2026,1,TSUB,enoe_2023,6.62,0.131,187657
2026,2,TSUB,enoe_2023,6.85,0.127,189353
