anio,trimestre,indicador,oficial,pipeline,diferencia_pp,nota_clave
2024,2,TD,2.67,2.67,0.002,
2024,2,TIL1,54.26,54.26,0,
2024,2,TIL2,50.76,50.76,0.004,
2024,2,TOSI1,28.13,28.13,0.004,
2024,2,TOSI2,31.44,31.44,0.001,
2024,2,TPEA,60.25,60.25,0.003,
2024,2,TSUB,7.38,7.38,0.001,
2024,3,TCCO,32.49,32.49,0.002,
2024,3,TD,3,3,0.002,
2024,3,TIL1,54.64,54.64,0.003,
2024,3,TIL2,50.59,50.59,0.004,
2024,3,TOSI1,28.11,28.11,0.004,
2024,3,TOSI2,31.76,31.76,0.005,
2024,3,TPEA,60.39,60.39,0.001,
2024,3,TSUB,8.04,8.04,0.002,
2024,4,TCCO,31.07,31.07,0.003,
2024,4,TD,2.57,2.57,0.002,
2024,4,TIL1,54.45,54.45,0,
2024,4,TIL2,50.83,50.83,0.001,
2024,4,TOSI1,28.61,28.61,0.002,
2024,4,TOSI2,31.97,31.97,0.004,
2024,4,TPEA,59.9,59.9,0.005,
2024,4,TSUB,8.22,8.22,0,
2025,1,TCCO,33.58,33.58,0.005,
2025,1,TD,2.46,2.46,0.004,
2025,1,TIL1,54.31,54.31,0.001,
2025,1,TIL2,50.7,50.7,0,
2025,1,TOSI1,28.8,28.8,0.002,
2025,1,TOSI2,32.14,32.14,0.003,
2025,1,TPEA,59.15,59.15,0.005,
2025,1,TSUB,6.61,6.61,0.004,
2025,2,TCCO,32.24,32.24,0.001,
2025,2,TD,2.66,2.66,0,
2025,2,TIL1,54.83,54.83,0.004,
2025,2,TIL2,51.13,51.13,0.005,
2025,2,TOSI1,29,29,0.004,
2025,2,TOSI2,32.44,32.44,0.001,
2025,2,TPEA,59.51,59.51,0.001,
2025,2,TSUB,7.22,7.22,0.005,
2025,3,TCCO,33.33,33.33,0.001,
2025,3,TD,2.89,2.89,0.003,
2025,3,TIL1,55.41,55.41,0.005,
2025,3,TIL2,51.7,51.7,0.005,
2025,3,TOSI1,29.5,29.5,0.003,
2025,3,TOSI2,33.1,33.1,0,
2025,3,TPEA,59.48,59.48,0.002,
2025,3,TSUB,7.24,7.24,0.003,
2025,4,TCCO,34.19,34.19,0.004,
2025,4,TD,2.55,2.55,0.003,
2025,4,TIL1,55,55,0.004,
2025,4,TIL2,51.49,51.49,0,
2025,4,TOSI1,29.48,29.48,0.001,
2025,4,TOSI2,32.91,32.91,0.003,
2025,4,TPEA,59.28,59.28,0.003,
2025,4,TSUB,6.93,6.93,0.003,
2026,1,TCCO,38.63,38.63,0.001,
2026,1,TD,2.55,2.55,0.004,
2026,1,TIL1,54.78,54.78,0.005,
2026,1,TIL2,51.37,51.37,0.004,
2026,1,TOSI1,29.55,29.55,0.004,
2026,1,TOSI2,32.93,32.93,0.001,
2026,1,TPEA,58.72,58.72,0.001,
2026,1,TSUB,6.62,6.62,0.003,
2026,2,SUBUTIL,,,,sin_bie
2026,2,TCCO,37.7,37.7,0.002,
2026,2,TD,2.65,2.65,0.004,
2026,2,TDAMPL,,,,sin_bie
2026,2,TIL1,55.1,55.1,0.003,
2026,2,TIL2,51.7,51.7,0.002,
2026,2,TOSI1,30.24,30.24,0.001,
2026,2,TOSI2,33.7,33.7,0.004,
2026,2,TPEA,59.13,59.13,0.001,
2026,2,TSUB,6.85,6.85,0.005,
